FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
62,HISTORIC FILIPINOTOWN,yes,21059.7469803,17094713.9821,HISTORIC FILIPINOTOWN,1833,13216,65,469,2021/01/30,2320459.62890625,7754.16951739485
63,CARTHAY, ,27378.2907801,27757419.1827,CARTHAY,819,5702,45,313,2021/01/30,3767809.1875,10081.183223391
64,WILSHIRE CENTER, ,39543.5666349,35959758.5072,WILSHIRE CENTER,4944,9854,85,169,2021/01/30,4880897.54296875,14570.0722398733
65,PARK LA BREA, ,16543.8264728,13459436.9155,PARK LA BREA,511,3763,1,7,2021/01/30,1826926.3125,6094.52645515498
66,UNIVERSITY HILLS,yes,17416.7542576,16184171.7408,UNIVERSITY HILLS,249,7262,1,29,2021/01/30,2196674.12890625,6416.14178946222
67,ANGELINO HEIGHTS, ,11358.901405,5086158.17178,ANGELINO HEIGHTS,248,9912,3,120,2021/01/30,690342.12109375,4188.8748914572
68,MIRACLE MILE,yes,39099.7104234,33571980.8131,MIRACLE MILE,803,4465,13,72,2021/01/30,4555788.61328125,14393.6892932485
69,WESTLAKE,yes,25445.3405571,32261541.284,WESTLAKE,7024,11834,235,396,2021/01/30,4377754.75390625,9368.79684358515
70,CHINATOWN,yes,14302.6091352,10914285.258,CHINATOWN,648,8079,9,112,2021/01/30,1481171.0859375,5269.5102314165
71,KOREATOWN,yes,28431.5002987,40187179.5014,KOREATOWN,4985,9643,87,168,2021/01/30,5452833.31640625,10465.7745723996
72,BOYLE HEIGHTS,yes,57670.6084299,149384135.904,BOYLE HEIGHTS,16303,18764,207,238,2021/01/30,20261861.546875,21253.3163534476
73,CENTURY CITY,yes,24103.1368105,32485123.3554,CENTURY CITY,532,4159,9,70,2021/01/30,4407599.97265625,8878.10804826545
74,SOUTH CARTHAY, ,17877.0707175,14386542.4021,SOUTH CARTHAY,611,5767,5,47,2021/01/30,1952177.93359375,6582.00225006782
75,DOWNTOWN, ,36460.9728581,53948151.5236,DOWNTOWN,3456,12564,34,124,2021/01/30,7318561.73828125,13430.7693596923
76,COUNTRY CLUB PARK, ,23013.4233451,24759665.6122,COUNTRY CLUB PARK,1375,9074,58,383,2021/01/30,3359513.8046875,8474.28042174886
77,MID-CITY, ,29564.321088,30570514.0369,MID-CITY,1058,7039,33,220,2021/01/30,4147510.02734375,10880.5950385739
78,CHEVIOT HILLS,yes,33811.6752986,47875339.7759,CHEVIOT HILLS,390,4253,8,87,2021/01/30,6493954.2578125,12455.7447849134
79,BEVERLYWOOD, ,32869.6016419,31737507.73,BEVERLYWOOD,748,5678,1,8,2021/01/30,4305353.83984375,12111.9406451998
80,CRESTVIEW, ,21361.741998,21376801.2471,CRESTVIEW,855,7521,37,325,2021/01/30,2900202.5703125,7863.68767065919
81,PICO-UNION,yes,27511.0713724,37208167.7693,PICO-UNION,6501,15537,168,402,2021/01/30,5047611.94140625,10129.7659210288
82,LITTLE TOKYO,yes,11664.9527483,6286183.13771,LITTLE TOKYO,355,11331,8,255,2021/01/30,852800.546875,4299.22640092633
83,WEST LOS ANGELES, ,36739.2514519,61773495.3135,WEST LOS ANGELES,2008,5335,34,90,2021/01/30,8379144.90625,13525.9176081833
84,VICTORIA PARK, ,15968.962691,11167318.0447,VICTORIA PARK,961,11442,9,107,2021/01/30,1514878.90234375,5876.9270176011
85,HARVARD HEIGHTS, ,21243.2545291,21355822.9774,HARVARD HEIGHTS,2348,13019,53,294,2021/01/30,2896956.7109375,7815.18668364232
